id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
0000997932d777bf,"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms, just closure on some GAs after I voted at New York Dolls FAC. And please don't remove the template from the talk page since I'm retired now.89.205.38.27",0,0,0,0,0,0
87cb5cac434daf0e,"""
Welcome!

Hello, and welcome to Wikipedia. Thank you for your contributions.

Currently, you are editing without a username. You can continue to do so, as you are not required to log in to Wikipedia to read and edit articles; however, logging in will result in a username being shown instead of your IP address (yours is 195.82.123.154). Logging in does not require any personal details, and there are many other benefits for logging in.

When you edit pages:

 Please respect others' copyrights; do not copy and paste the contents from webpages directly.
 Please use a neutral point of view when editing articles; this is possibly the most important Wikipedia policy.
 If you are testing, please use the Sandbox to do so. 
 Do not add unreasonable contents into any articles, such as copyrighted text, advertisement messages, and text that is not related to an article's subject. Adding such content or editing articles maliciously is considered vandalism.

The Wikipedia Tutorial is a good place to start learning about Wikipedia. For now, if you are stuck, you can click the edit this page tab above, type {{helpme}} in the edit box, and then click Save Page; an experienced Wikipedian will be around shortly to answer any questions you may have. Also feel free to ask a question on . I will answer your questions as far as I can! Thank you again for contributing to Wikipedia.  """,0,0,0,0,0,0
87cd5cebd7ac0189,nb: might was well acknowledge that this was me; 'me' being the user now known as,0,0,0,0,0,0
87cdd83539dc57f6,"László 

What is your problem?",0,0,0,0,0,0
87cf48ab3f729810,"""
Hi, another few points about the second subtitle: """"Would the preparations have been effective?"""".  I argue that this subtitle is too long. The subtitle """"Historical analysis"""" would be more concise. As well, professional historians do not usually devote time to """"counter factual"""" discussions, like """"Would the US forces in Hawaii been able to withstand an amphibious assault by Japanese forces in WW II"""", or """"If it had not been rainy in 1415, would the French knights have won at the Battle of Agincourt, rather than being trapped in the mud"""".  Historians don't spend time discussing these issues. In 1415, during the battle of Agincourt, it WAS muddy, and so the French knights DID get bogged down in the mud, and so that is the course of the battle. I would like to see a source indicating that reputable historians have discussed """"Would the preparations have been effective.""""  

""",0,0,0,0,0,0
87d09d672b87d467,""" 

  has smiled at you! Smiles promote WikiLove and hopefully this one has made your day better. Spread the WikiLove by smiling to someone else, whether it be someone you have had disagreements with in the past or a good friend. Smile to others by adding  or  to their talk page with a friendly message. Happy editing! 

""",0,0,0,0,0,0
87d1314117aa17d8,The trivia section of this article seems highly doubtful to me. 84.241.197.188,0,0,0,0,0,0
87d20db73e8d044a,"""
Anyway, Hey! I'm mboverload. Nice to meet you Acroterion. I was wondering what kind of camera you used for . I noticed you used a film scanner. It's a great photo. @ """,0,0,0,0,0,0
87d355ea937120e9,"smyou have a message re your last change, go fuckyourself!!!

all",1,1,1,0,1,0
87d393b4181aa354,"Another major swoop through the draft 

I did another major swoop through the draft, mostly to simplify overly complex sentences that I let slide the first time through, but also a lot of simple copyediting. Please check over to make sure that I haven't adversely changed their intended meanings. Thanks!",0,0,0,0,0,0
87d40d0b98b4aef9,"Dear Sarah is not a question of translation with google translate or another, if any meaning of certain phrases or expressions Italian is to make surreal and paradoxical in English (my) translation as a means of communication.
It is an ironic writing not illiteracy.
Then if we make serious I repeat as I have uploaded more pictures from the time of the discussion, I repeat as administrators of the ML that they will send their consent to the use of images (I suggested they use a Polaroid camera so you do not there will be problems of duplicate film for the rest ....) I think the pages edited by me speaks for itself that I always having used Wikipedia as in my good faith endeavoring to carry out a correct knowledge for the benefit of all, not a few (or personal).
Copyright images, I repeat as in my case the issue is gone as a presumption of guilt against me and restriction of use of them far beyond the actual size of my act and the alleged fraud committed or derivative.
This is evident from reading the entire wikipedia regulation regarding copyright diligently as I did in those days.
Especially, I having had the direct consent of the ML for the use of the pictures (the administrators of the ML, have got copyright holders of the photos, as can be seen from their website http://www.movimentolibertario.it, or do you believe that even Oriana.Italy denounce them for using of the pictures in question in violation of Copyright?).
Bye.",0,0,0,0,0,0
87d4ae9652fb86ed,"Well, if it is a prank, I think it is not funny anymore: I reverted it three times this weekend, and left messages to the anons who put it, but I'm confident it will come back...",0,0,0,0,0,0
87d4cee6b86fd4cd,"Please stop. If you continue to vandalize Wikipedia, you will be blocked from editing.  
[[User_Talk:King Lopez|Lopez]]Contribs",0,0,0,0,0,0
87d5449702cb1994,"Please stop making POV edits, like you did here.",0,0,0,0,0,0
87d57ac300cafb44,"Democrat? 

You have to look half way down the page to find out wether he is a democrat or republican. This is one of the most important factors about him and is what many people come to this page to find out. There needs to be a mention of it within the first few lines.",0,0,0,0,0,0
87d91bd759be921b,Comment- Shouldnt verifiability and Wikipedia:RS and Wiki policy take precedence over the votes of a few disgruntled editors who dont like the fact that practically all encyclopedias have him as Wladyslaw II?,0,0,0,0,0,0
87d934d704553569,"""

Last Words
The plot summary mentions that """"We've won"""" are Cameron's last words. Did they mean the last words of the film, or did I miss something? Either way, should be edited for clarity.76.10.75.168  """,0,0,0,0,0,0
87d938298d58f76d,"The capital of the United Kingdom is London, so Northern Irelands, Scotlands, Englands and Wales's Capital is London.
( )",0,0,0,0,0,0
87d94a7c0aade4a2,"""

 Lead needs to meet MOS standards 

As it stands, the lead breaks MOS in several major ways:

 MOS:INTRO#Introductory text - In that is does not """"briefly summarize the most important points covered in an article in such a way that it can stand on its own as a concise version of the article"""".
 MOS:INTRO#Relative emphasis - In that it gives WP:UNDUE emphasis to male rape in the UK, yet section in """"Prevalence"""" covers 6 countries from which other examples could have been given. To quote MOS, """"emphasis given to material should reflect its relative importance to the subject"""" – male rape in the UK is no more important that in any other country in the world, therefore it should not be used as a singular example because this does not represent a worldwide view, particularly as anything related to anal sex differs per culture, religion and by law.
 The examples break the MOS:INTRO#Provide an accessible overview guideline which states: """"Do not hint at startling facts without describing them."""" The UK percentages are quoted without sufficient background to explain their relevancy this early in the article, there is no context because the lead is very short and uninformative.
 MOS:INTRO#Relative emphasis - """"Significant information should not appear in the lead if it is not covered in the remainder of the article"""" – the stated UK <3% and <5% figures are not mentioned in Male rape#United Kingdom, which would be a more appropriate place to account for these percentages, than in the lead in this disconnected manner.

The lead needs rewriting be someone who has contributed to this article and knows the sources well, it should be much longer based on the article's current length, it should be balanced and not given to undue examples from cherry-picked county data, per WP:NPOV. It needs to give a concise overview of the topic, rather than focusing on too many examples, to avoid clutter. 82.8.252.13  """,0,0,0,0,0,0
87d9e1f15f82c4b4,"""

Thanks for clarifying. I've got no problems with the structure suggestion. We can swap all of that around. I'm not sure where the US conversation stuff is, maybe it was at GAN? I remember speaking with Ingolfson regarding expansion of the article, but that there was already enough US content, despite what the previous reviewer believed. As an Australian, I'm more than happy to be sure there's more international content. I've just got to get through my work. I get in deep shit when people see me editing Wikipedia at a work PC...  T / C """,0,0,0,0,0,0
87dab4a1da9caeb2,"""

 Disambig correction 

I saw you correcting many disambig. Do you use any automated tool for that?   Talk  
Posted a reply in your talk page!  ✉  """,0,0,0,0,0,0
87dbbc57ef0add82,"""= Reply to my fellow Mongols Deliogul & Laertes_d ===
Laertes, you know as much of History as a... Turk! Yes Horton was... propaganda! ()
Anatolia (Asia Minor) was BYZANTINE/GREEK for CENTURIES before you Turkish invaders came from the Altai mountains and Mongolia, so in 1919 we just tried to liberate what was and still is ours!
You can only claim Ulan Bator as your homeland not Asia Minor which belongs to Greeks, Armenians,
Kurds and Arabs.
PS.don't usurp a good Greek name like Laertes, try something of your """"culture"""" eg. Kucuk Skebe
Ye

Delioglu, whether you and all other Kemalist fascists like it, the Genocide of Pontic Greeks and Armenians IS a fact recognised by every respectable historian including a few of yours.
Try to open your eyes because sometimes History repeats itself but with victs and victims reversed and you might not like what you will see in a few years in what you will now call """"your"""" country...

==""",0,0,0,0,0,0
87dbefda44b1e0ab,"Position 

Should really be attacking midfielder rather than central midfielder?  He was primarily used there for Swansea and I assume that the Spaniard is doing the same at Wigan?    Fish1987 03Sep09",0,0,0,0,0,0
87dbf511158905c0,"By the way I never removed the tag from the image, you removed my dispute.  As far as I lnow it isn't required to display that it is tagged on the article.",0,0,0,0,0,0
87dc5276b5f9e02e,I tell the user WIkipedia is not a collection of lists. talk/contribs,0,0,0,0,0,0
87dc8c9b5fef0f95,"Source or Remove
Historically, testicle cuffs may have been used by the slave traders of Western Africa, as a means to subdue newly-captured males. In processions to markets, the males were bound to each other in single-file formation, usually by the hands, with ankle manacles in place. The testicle cuffs extended between the legs, and each man was connected to the next by a rope between their genitals. These tight metal bindings on their scrotums were to ensure that a quick pace was kept, for if a man were to stop walking the rope would pull and cause quick, sharp pain in the genital region. doesn't sound vaguely historical, source it or I'll remove it.",0,0,0,0,0,0
87ddda291829c195,"Also please note that Ubikwit has his own (I think slightly different?) reasons for wanting to see the quote removed, if he doesn't post his reasons here I'd encourage others to read some of the above posts by him as well and take those arguments into account.",0,0,0,0,0,0
87de1cdf89dc6e15,"""
I continue to be skeptical that this topic merits a standalone article. Also, an editor deleted my comments of 16:32, 1 February 2012; yet WP:TALKO explicitly states, """"you should exercise caution in [removing others' comments], and normally stop if there is any objection"""".  This edit is both my objection to the deletion and reinstatement of the comments. My comment only repeated the pejorative term """"juvenile"""" to explicitly state, """"this thread's juvenile first mention...was by the same [editor  aka ]"""" (namely, here).  """,0,0,0,0,0,0
